capacitance_in_uf;width_in_mm;multiplier_1;height_in_mm;multiplier_2;length_in_mm;p1_in_mm;ordering code;i_rms_max_85degree_in_A;ESR_85degree_in_mOhm;ESL_in_nH;tan_delta_max_1kHz_in_e-3;tan_delta_max_10kHz_in_e-3;MOQ;V_R_85degree;V_op_105degree;V_op_125degree
50.0;45.0;x;57.0;x;57.5;20.3;B32718P8506K000;20.9;3.8;20.0;2.2;18.6;140;825;825;660
55.0;45.0;x;65.0;x;57.5;20.3;B32718P8556+000;23.3;3.3;23.0;2.2;19.1;140;825;825;660
20.0;30.0;x;45.0;x;57.5;20.3;B32718P9206+000;12.2;7.9;15.0;1.9;16.3;280;900;900;720
25.0;35.0;x;50.0;x;57.5;20.3;B32718P9256+000;14.5;6.3;16.0;2.0;16.5;108;900;900;720
27.0;35.0;x;50.0;x;57.5;20.3;B32718P9276+000;15.2;5.9;17.0;2.0;16.5;108;900;900;720
30.0;38.0;x;57.5;x;57.5;20.3;B32718P9306+000;16.9;5.4;18.0;2.0;16.7;96;900;900;720
33.0;38.0;x;57.5;x;57.5;20.3;B32718P9336+000;17.8;4.9;20.0;2.0;16.8;96;900;900;720
35.0;45.0;x;55.0;x;57.5;20.3;B32718P9356+000;19.1;4.6;18.0;2.0;16.8;140;900;900;720
40.0;45.0;x;57.0;x;57.5;20.3;B32718P9406+000;20.5;4.1;20.0;2.0;17.0;140;900;900;720
50.0;45.0;x;65.0;x;57.5;20.3;B32718P9506K000;22.9;3.5;23.0;2.0;17.4;140;900;900;720
15.0;30.0;x;45.0;x;57.5;20.3;B32718P0156K000;12.1;9.0;15.0;1.7;13.5;280;1050;1050;840
20.0;35.0;x;50.0;x;57.5;20.3;B32718P0206K000;14.9;6.8;17.0;1.7;13.7;108;1050;1050;840
25.0;38.0;x;57.5;x;57.5;20.3;B32718P0256+000;17.8;5.4;20.0;1.7;13.9;96;1050;1050;840
27.0;45.0;x;55.0;x;57.5;20.3;B32718P0276+000;19.1;5.0;19.0;1.7;13.9;140;1050;1050;840
30.0;45.0;x;57.0;x;57.5;20.3;B32718P0306K000;19.7;4.7;20.0;1.7;14.0;140;1050;1050;840
35.0;45.0;x;65.0;x;57.5;20.3;B32718P0356K000;21.7;4.1;23.0;1.7;14.3;140;1050;1050;840
11.0;30.0;x;45.0;x;57.5;20.3;B32718P1116+000;11.3;10.3;15.0;1.5;11.8;280;1200;1200;960
15.0;35.0;x;50.0;x;57.5;20.3;B32718P1156K000;13.7;7.9;17.0;1.5;11.9;108;1200;1200;960
18.0;38.0;x;57.5;x;57.5;20.3;B32718P1186+000;15.9;6.5;19.0;1.5;12.1;96;1200;1200;960
20.0;45.0;x;55.0;x;57.5;20.3;B32718P1206+000;17.3;5.8;19.0;1.5;12.1;140;1200;1200;960
22.0;45.0;x;57.0;x;57.5;20.3;B32718P1226K000;18.2;5.5;20.0;1.5;12.2;140;1200;1200;960
25.0;45.0;x;65.0;x;57.5;20.3;B32718P1256+000;20.3;4.8;23.0;1.5;12.4;140;1200;1200;960
